index,Dsc,query,recom,RetNumbers,val1,val2,AuditType,RemType
1.1,Ensure Latest SQL Server Cumulative and Security Updates are installed,0,0,0,0,0,0,0
1.2,Ensure Single-Function Member Servers are Used,0,0,0,0,0,0,0
2.1,"<p style =""font-family : Times New Roman ,font-size: 8px"" ><h3>2.1 Ensure 'Ad Hoc Distributed Queries' Server Configuration Option is set to '0' (Automated) </h3> <br> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <br>&bull; Level 1 - AWS RDS <br><br> <b>Description:</b> <br>Enabling Ad Hoc Distributed Queries allows users to query data and execute statements on external data sources. This functionality should be disabled. <br><br> <b>Rationale:</b> <br>This feature can be used to remotely access and exploit vulnerabilities on remote SQL Server instances and to run unsafe Visual Basic for Application functions. <br><br> <b>Audit:</b> <br> Run the following T-SQL command: <br> <p style =""font-family : Courier New""> SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use <br>FROM sys.configurations <br>WHERE name = 'Ad Hoc Distributed Queries';</p> Both value columns must show 0. <br><br> <b>Remediation: </b> <br>For AWS RDS Instances, please refer to the documentation for using Parameter Groups here: <br> Working with parameter groups Run the following T-SQL command: <p style =""font-family : Courier New""> EXECUTE sp_configure 'show advnced options', 1; <br>RECONFIGURE; <br>EXECUTE sp_configure 'Ad Hoc Distributed Queries', 0; <br>RECONFIGURE; <br>GO <br> EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE; </p> <b>Default Value:</b> <br>0 (disabled) <br><br> <b>References: </b> <br><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWit hParamGroups.html"">1. https://learn.microsoft.com/en-us/sql/t-sql/statements/create-assembly-transactsql</a> <br> <a href=""https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/adhoc-distributed-queries-server-configuration-option"">2.https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html</a> <br></p>","SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'Ad Hoc Distributed Queries';","EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'Ad Hoc Distributed Queries', 0; RECONFIGURE;  EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",2,0,0,1,1
2.2,"<p style ="" font-size: 80%""> <h4>2.2 Ensure 'CLR Enabled' Server Configuration Option is set to '0' (Automated)</h4> <div style=""margin-top: 0px;""></div> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <br> &bull; Level 1 - AWS RDS <div style=""margin-top: 0px;""></div> <b>Description:</b> <br>The clr enabled option specifies whether user assemblies can be run by SQL Server. <div style=""margin-top: 0px;""></div> <b>Rationale:</b> <br>Enabling use of CLR assemblies widens the attack surface of SQL Server and puts it at risk from both inadvertent and malicious assemblies. <div style=""margin-top: 0px;""></div> <b>Impact:</b> <br>If CLR assemblies are in use, applications may need to be rearchitected to eliminate their usage before disabling this setting. Alternatively, some organizations may allow this setting to be enabled 1 for assemblies created with the SAFE permission set, but disallow assemblies created with the riskier UNSAFE and EXTERNAL_ACCESS permission sets. To find user-created assemblies, run the following query in all databases, replacing &lt;database_name> with each database name: <p style =""font-family : Courier New""> USE [&lt;database_name>]<br> GO<br> SELECT name AS Assembly_Name, permission_set_desc<br> FROM sys.assemblies<br> WHERE is_user_defined = 1;<br> GO </p> <div style=""margin-top: 0px;""></div> <b>Audit:</b> Run the following T-SQL command: <p style =""font-family : Courier New""> SELECT name,<br> CAST(value as int) as value_configured,<br> CAST(value_in_use as int) as value_in_use<br> FROM sys.configurations<br> WHERE name = 'clr strict security'; </p> If both values are 1, this recommendation is Not Applicable. Otherwise, run the following T-SQL command: <p style =""font-family : Courier New""> SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'clr enabled'; </p> Both value columns must show 0 to be compliant. <div style=""margin-top: 0px;""></div> <b>Remediation: </b> <br>For AWS RDS Instances, please refer to the documentation for using Parameter Groups here: <a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html"">Working with parameter groups</a> <br>Otherwise, run the following T-SQL command: <p style =""font-family : Courier New ; ""> EXECUTE sp_configure 'clr enabled', 0;<br> RECONFIGURE; </p> Restart the Database Engine. <div style=""margin-top: 0px;""></div> <b>Default Value:</b> <br>By default, this option is disabled (0). <div style=""margin-top: 0px;""></div> <b>References: </b> <br> <a href=""https://learn.microsoft.com/en-us/sql/t-sql/statements/create-assembly-transact-sql""> 1.https://learn.microsoft.com/en-us/sql/t-sql/statements/create-assembly-transact-sql</a> <a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html""> 2.https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html</a> <br> </p>","SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'clr strict security';","EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'Ad Hoc Distributed Queries', 0; RECONFIGURE;  EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",2,0,0,1,1
2.3,"<p style =""font-family : Times New Roman""><h3>2.3 Ensure 'Cross DB Ownership Chaining' Server Configuration Option is set to '0' (Automated) </h3> <br> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <br>&bull; Level 1 - AWS RDS <br><br> <b>Description:</b> <br>The cross db ownership chaining option controls cross-database ownership chaining across all databases at the instance (or server) level. <br><br> <b>Rationale:</b> <br>When enabled, this option allows a member of the db_owner role in a database to gain access to objects owned by a login in any other database, causing an unnecessary information disclosure. When required, cross-database ownership chaining should only be enabled for the specific databases requiring it instead of at the instance level for all databases by using the ALTER DATABASE<database_name>SET DB_CHAINING ON command. This database option may not be changed on the master, model, or tempdb system databases. <br><br> <b>Audit:</b> <br> Run the following T-SQL command: <br> <p style =""font-family : Courier New"">SELECT name,<br> CAST(value as int) as value_configured,<br> CAST(value_in_use as int) as value_in_use<br> FROM sys.configurations <br> WHERE name = 'cross db ownership chaining';</p> Both value columns must show 0 to be compliant. <br><br> <b>Remediation: </b> <br>For AWS RDS Instances, please refer to the documentation for using Parameter Groups here: <a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html"" >Working with parameter groups</a> Run the following T-SQL command: <p style =""font-family : Courier New""> EXECUTE sp_configure 'cross db ownership chaining', 0;<br> RECONFIGURE;<br> GO </p> <b>Default Value:</b> <br>By default, this option is disabled (0). <br><br> <b>References: </b> <br><a href=""https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/crossdb-ownership-chaining-server-configurationoption"">1.https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/crossdb-ownership-chaining-server-configuration-option</a> <br> <a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html"">2.https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html</a> <br></p>","SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'cross db ownership chaining';","EXECUTE sp_configure 'cross db ownership chaining', 0; RECONFIGURE; GO",2,0,0,1,1
2.4,"<p style =""font-family : Times New Roman""><h3>2.4 Ensure 'Database Mail XPs' Server Configuration Option is set to '0' (Automated)</h3> <p><br /><strong>Profile Applicability:</strong> <br />&bull; Level 1 - Database Engine <br />&bull; Level 1 - AWS RDS <br /><br /><strong>Description:</strong> <br />The Database Mail XPs option controls the ability to generate and transmit email messages from SQL Server. <br /><br /><strong>Rationale:</strong> <br />Disabling the Database Mail XPs option reduces the SQL Server surface, eliminates a DOS attack vector and channel to exfiltrate data from the database server to a remote host. <br /><br /><strong>Audit:</strong> <br />Run the following T-SQL command:</p> <p style=""font-family: Courier New;"">SELECT name,<br />CAST(value as int) as value_configured,<br />CAST(value_in_use as int) as value_in_use<br />FROM sys.configurations<br />WHERE name = 'Database Mail XPs';</p> <p>Both value columns must show 0 to be compliant. <br /><br /><strong>Remediation: </strong> <br />For AWS RDS Instances, please refer to the documentation for using Parameter Groups here: <a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html"">Working with parameter groups</a> Run the following T-SQL command:</p> <p style=""font-family: Courier New;"">EXECUTE sp_configure 'show advanced options', 1;<br />RECONFIGURE;<br />EXECUTE sp_configure 'Database Mail XPs', 0;<br />RECONFIGURE;<br />GO<br />EXECUTE sp_configure 'show advanced options', 0; <br />RECONFIGURE;</p> <p><strong>Default Value:</strong> <br />By default, this option is disabled (0). <br /><br /><strong>References: </strong> <br /><a href=""https://learn.microsoft.com/en-us/sql/relational-databases/database-mail/database-mail?view=sql-server-ver16"">. https://learn.microsoft.com/en-us/sql/relational-databases/databasemail/database-mail</a> </p></P>","SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'Database Mail XPs';","EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'Database Mail XPs', 0; RECONFIGURE; GO EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",2,0,0,1,1
2.5,"<p style ="" font-size: 80%""><h4>2.5 Ensure 'Ole Automation Procedures' Server Configuration Option is set to '0' (Automated)</h4> <div style=""margin-top: 0px;""></div> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <b>Description:</b> <br>The Ole Automation Procedures option controls whether OLE Automation objects can be instantiated within Transact-SQL batches. These are extended stored procedures that allow SQL Server users to execute functions external to SQL Server. <div style=""margin-top: 0px;""></div> <b>Rationale:</b> <br>Enabling this option will increase the attack surface of SQL Server and allow users to execute functions in the security context of SQL Server. <div style=""margin-top: 0px;""></div> <b>Audit:</b> Run the following T-SQL command: <p style =""font-family : Courier New""> SELECT name,<br> CAST(value as int) as value_configured,<br> CAST(value_in_use as int) as value_in_use<br> FROM sys.configurations<br> WHERE name = 'Ole Automation Procedures'; </p> Both value columns must show 0 to be compliant. <div style=""margin-top: 0px;""></div> <b>Remediation: </b> <br>Run the following T-SQL command: <p style =""font-family : Courier New ; ""> EXECUTE sp_configure 'show advanced options', 1;<br> RECONFIGURE;<br> EXECUTE sp_configure 'Ole Automation Procedures', 0;<br> RECONFIGURE;<br> GO<br> EXECUTE sp_configure 'show advanced options', 0;<br> RECONFIGURE; </p> <div style=""margin-top: 0px;""></div> <b>Default Value:</b> <br>By default, this option is disabled (0). <br><br> <b>References: </b> <br><a href=""https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/ole-automation-procedures-server-configuration-option?view=sql-server-ver16"">1.https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/oleautomation-procedures-server-configuration-option</a> <br> </p>","SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'Ole Automation Procedures';","EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'Ole Automation Procedures', 0; RECONFIGURE; GO EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",2,0,0,1,1
2.6,"<p style =""font-family : Times New Roman""><h3>2.6 Ensure 'Remote Access' Server Configuration Option is set to '0' (Automated)</h3> <br> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <br> &bull; Level 1 - AWS RDS <br><br> <b>Description:</b> <br>The remote access option controls the execution of local stored procedures on remoteservers or remote stored procedures on local server<br><br> <b>Rationale:</b> <br>Functionality can be abused to launch a Denial-of-Service (DoS) attack on remoteservers by off-loading query processing to a target.<br><br> <br> <b>Impact</b> <br>Per Microsoft: This feature will be removed in the next version of Microsoft SQL Server. Do not use this feature in new development work, and modify applications that currently use this feature as soon as possible. Use sp_addlinkedserver instead.<br> <b>Audit:</b> <br> Run the following T-SQL command: <br> <p style =""font-family : Courier New""> SELECT name,<br> CAST(value as int) as value_configured,<br> CAST(value_in_use as int) as value_in_use<br> FROM sys.configurations<br> WHERE name = 'remote access'; </p> Both value columns must show 0. <br><br> <b>Remediation: </b> For AWS RDS Instances, please refer to the documentation for using Parameter Groups here: <a href= ""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html"">Working with parameter groups</a> Otherwise, run the following T-SQL command: <p style =""font-family : Courier New""> EXECUTE sp_configure 'show advanced options', 1;<br> RECONFIGURE;<br> EXECUTE sp_configure 'remote access', 0;<br> RECONFIGURE;<br> GO<br> EXECUTE sp_configure 'show advanced options', 0;<br> RECONFIGURE; </p> Restart the Database Engine <b>Default Value:</b> <br>By default, this option is enabled (1). <br><br> <b>References: </b> <br><a href=""https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/configure-the-remote-access-server-configuration-option"">1.https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/configure-the-remote-access-server-configuration-option</a> <br><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html"">2.https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithParamGroups.html</a> <br> </p>","SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'remote access';","EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'remote access', 0; RECONFIGURE; GO EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",2,0,0,1,1
2.7,"<p>2.7 Ensure 'Remote Admin Connections' Server Configuration Option is set to '0' (Automated)<br> <br> Profile Applicability:<br> &bull;  Level 1 - Database Engine<br> <br> Description:<br> The remote admin connections option controls whether a client application on a remote<br> computer can use the Dedicated Administrator Connection (DAC).<br> <br> Rationale:<br> The Dedicated Administrator Connection (DAC) lets an administrator access a running<br> server to execute diagnostic functions or Transact-SQL statements, or to troubleshoot<br> problems on the server, even when the server is locked or running in an abnormal state<br> and not responding to a SQL Server Database Engine connection. In a cluster scenario,<br> the administrator may not actually be logged on to the same node that is currently<br> hosting the SQL Server instance and thus is considered ""remote"". Therefore, this<br> setting should usually be enabled (1) for SQL Server failover clusters; otherwise, it<br> should be disabled (0) which is the default.<br> <br> Audit:<br> Run the following T-SQL command:<br> SELECT name,<br> CAST(value as int) as value_configured,<br> CAST(value_in_use as int) as value_in_use<br> FROM sys.configurations<br> WHERE name = 'remote admin connections'<br> AND SERVERPROPERTY('IsClustered') = 0;<br> If no data is returned, the instance is a cluster and this recommendation is not<br> applicable. If data is returned, then both the value columns must show 0 to be<br> compliant.<br> <br> Remediation:<br> Run the following T-SQL command on non-clustered installations:<br> EXECUTE sp_configure 'remote admin connections', 0;<br> RECONFIGURE;<br> GO<br> <br> Default Value:<br> By default, this option is disabled (0), only local connections may use the DAC.<br> <br> References:<br> 1. https://learn.microsoft.com/en-us/sql/database-engine/configure-<br> windows/remote-admin-connections-server-configuration-option<br> By default, this option is enabled (1).<br> <br> References:<br> 1. https://learn.microsoft.com/en-us/sql/database-engine/configure-<br> windows/configure-the-remote-access-server-configuration-option<br> 2. https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWit<br> hParamGroups.html<br> <br> <br> <br> <br> <br> <br> <br> <br> <br></p>","SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'remote admin connections' AND SERVERPROPERTY('IsClustered') = 0;","EXECUTE sp_configure 'remote admin connections', 0; RECONFIGURE; GO",2,0,0,1,1
2.8,"<p style ="" font-size: 80%""> <h4>2.8 Ensure 'Scan For Startup Procs' Server Configuration Option is set to '0' (Automated) </h4> <div style=""margin-top: 0px;""></div> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <div style=""margin-top: 0px;""></div> <b>Description:</b> <br>The scan for startup procs option, if enabled, causes SQL Server to scan for and automatically run all stored procedures that are set to execute upon service startup. <div style=""margin-top: 0px;""></div> <b>Rationale:</b> <br>Enforcing this control reduces the threat of an entity leveraging these facilities for malicious purposes. <div style=""margin-top: 0px;""></div> <b>Impact:</b> <br>Setting Scan for Startup Procedures to 0 will prevent certain audit traces and other commonly used monitoring stored procedures from re-starting on start up. Additionally, replication requires this setting to be enabled (1) and will automatically change this setting if needed. <div style=""margin-top: 0px;""></div> <b>Audit:</b> Run the following T-SQL command: <p style =""font-family : Courier New""> SELECT name,<br> CAST(value as int) as value_configured,<br> CAST(value_in_use as int) as value_in_use<br> FROM sys.configurations<br> WHERE name = 'scan for startup procs'; </p> Both value columns must show 0. <div style=""margin-top: 0px;""></div> <b>Remediation: </b> <br>Run the following T-SQL command: <p style =""font-family : Courier New ; ""> EXECUTE sp_configure 'show advanced options', 1;<br> RECONFIGURE;<br> EXECUTE sp_configure 'scan for startup procs', 0;<br> RECONFIGURE;<br> GO<br> EXECUTE sp_configure 'show advanced options', 0;<br> RECONFIGURE; </p> Restart the Database Engine. <div style=""margin-top: 0px;""></div> <b>Default Value:</b> <br>By default, this option is disabled (0) <div style=""margin-top: 0px;""></div> <b>References: </b> <br> <a href=""https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/configure-the-scan-for-startup-procs-server-configuration-option""> 1.https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/configure-the-scan-for-startup-procs-server-configuration-option</a> <br> </p>","SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'scan for startup procs';","EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'scan for startup procs', 0; RECONFIGURE; GO EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",2,0,0,1,1
